Store ID,Address,City,State,Zip Code,Latitude,Longitude
2,2424 Baldwin Blvd,Corpus Christi,Texas,78405,27.7737295,-97.4197227
3,4510 Leopard St,Corpus Christi,Texas,78408,27.7974914,-97.4436075
4,510 S 14th St,Kingsville,Texas,78363,27.5124514,-97.8556869
5,1242 E Main St.,Alice,Texas,78332,27.7538113,-98.0596678
7,1412 E Jackson Ave,McAllen,Texas,78503,26.1904519,-98.2067953
9,3220 Gollihar Rd,Corpus Christi,Texas,78415,27.7377809,-97.4050959
10,509 E Rio Grande St,Victoria,Texas,77901,28.8054811,-96.998758
12,2018 S Staples St,Corpus Christi,Texas,78404,27.7657868,-97.4026943
14,2737 W Wheeler Ave,Aransas Pass,Texas,78336,27.9250901,-97.1784157
15,5900 San Pedro Ave,San Antonio,Texas,78212,29.4886864,-98.498932
21,5480 Pensacola Blvd,Pensacola,Florida,32505,30.4710686,-87.2447098
23,2916 West Expressway 83,McAllen,Texas,78501,26.1942102,-98.2563093
24,3716 Andrews Hwy,Odessa,Texas,79762,31.8782401,-102.3831708
25,1313 N New Warrington Rd,Pensacola,Florida,32506,30.4273657,-87.2708679
26,1520 E Business 83,Weslaco,Texas,78596,26.1562442,-97.9759292
30,1900 E 8th St,Odessa,Texas,79761,31.86026,-102.3472488
31,4126 S Staples St,Corpus Christi,Texas,78411,27.729315,-97.3806268
32,1739 South Beckham,Tyler,Texas,75701,32.3298381,-95.2909432
34,1710 N Saint Marys St,Beeville,Texas,78102,28.4172823,-97.7553791
35,2301 Spencer Hwy,Pasadena,Texas,77504,29.6652092,-95.2059132